"Apricots, canned, extra light syrup pack, with skin, solids and liquids (Includes foods for USDA's Food Distribution Program)",0.6
"Apricots, canned, heavy syrup pack, with skin, solids and liquids",0.376
"Apricots, canned, heavy syrup pack, without skin, solids and liquids",0.416
"Apricots, canned, heavy syrup, drained",0.376
"Apricots, canned, juice pack, with skin, solids and liquids",0.344
"Apricots, canned, light syrup pack, with skin, solids and liquids",0.304
"Apricots, canned, water pack, with skin, solids and liquids",0.395
"Apricots, canned, water pack, without skin, solids and liquids",0.437
"Apricots, dehydrated (low-moisture), sulfured, stewed",1.63
"Apricots, dehydrated (low-moisture), sulfured, uncooked",3.58
"Apricots, dried, sulfured, stewed, with added sugar",0.853
"Apricots, dried, sulfured, stewed, without added sugar",0.915
"Apricots, dried, sulfured, uncooked",2.589
"Apricots, frozen, sweetened",0.8
"Apricots, raw",0.6
"ARBY'S, roast beef sandwich, classic",4.343
"Archway Home Style Cookies, Chocolate Chip Ice Box",2.06
"Archway Home Style Cookies, Coconut Macaroon",0.22
"Archway Home Style Cookies, Date Filled Oatmeal",1.99
"Archway Home Style Cookies, Dutch Cocoa",2.22
"Archway Home Style Cookies, Frosty Lemon",1.95
"Archway Home Style Cookies, Iced Molasses",2.39
"Archway Home Style Cookies, Iced Oatmeal",1.64
"Archway Home Style Cookies, Molasses",2.71
"Archway Home Style Cookies, Oatmeal",1.88
"Archway Home Style Cookies, Oatmeal Raisin",1.69
"Archway Home Style Cookies, Old Fashioned Molasses",2.84
"Archway Home Style Cookies, Old Fashioned Windmill Cookies",2.94
"Archway Home Style Cookies, Peanut Butter",4.37
"Archway Home Style Cookies, Raspberry Filled",2.13
"Archway Home Style Cookies, Reduced Fat Ginger Snaps",2.86
"Archway Home Style Cookies, Strawberry Filled",2.13
"Archway Home Style Cookies, Sugar Free Oatmeal",1.81
"Arrowhead, cooked, boiled, drained, with salt",1.16
"Arrowhead, cooked, boiled, drained, without salt",1.16
"Arrowhead, raw",1.65
Arrowroot flour,0
"Arrowroot, raw",1.693
"Artichokes, (globe or french), cooked, boiled, drained, with salt",1.11
"Artichokes, (globe or french), cooked, boiled, drained, without salt",1.11
"Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",0.915
"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",0.915
"Artichokes, (globe or french), frozen, unprepared",0.86
"Artichokes, (globe or french), raw",1.046
"Arugula, raw",0.305
"Asparagus, canned, drained solids",0.954
"Asparagus, canned, no salt added, solids and liquids",0.851
"Asparagus, canned, regular pack, solids and liquids",0.851
"Asparagus, cooked, boiled, drained",1.084
"Asparagus, cooked, boiled, drained, with salt",1.084
"Asparagus, frozen, cooked, boiled, drained, with salt",1.038
"Asparagus, frozen, cooked, boiled, drained, without salt",1.038
"Asparagus, frozen, unprepared",1.202
"Asparagus, raw",0.978
"Avocados, raw, all commercial varieties",1.738
"Avocados, raw, California",1.912
"Avocados, raw, Florida",0.672
"Babyfood, apple yogurt dessert, strained",0
"Babyfood, apple-banana juice",0.14
"Babyfood, apples with ham, strained",0.73
"Babyfood, apples, dices, toddler",0.087
"Babyfood, Baby MUM MUM Rice Biscuits",2.896
"Babyfood, baked product, finger snacks cereal fortified",11.25
"Babyfood, banana apple dessert, strained",0.13
"Babyfood, banana juice with low fat yogurt",0.27
"Babyfood, banana no tapioca, strained",0.54
"Babyfood, banana with mixed berries, strained",0.623
"Babyfood, beverage, GERBER, GRADUATES, FRUIT SPLASHERS",0.06
"Babyfood, carrots and beef, strained",0.93
"Babyfood, carrots, toddler",0.25
"Babyfood, cereal, barley, dry fortified",14.28
"Babyfood, cereal, barley, prepared with whole milk",2.707
"Babyfood, cereal, brown rice, dry, instant",16
"Babyfood, cereal, egg yolks and bacon, junior",0.266
"Babyfood, cereal, high protein, prepared with whole milk",5.668
"Babyfood, cereal, high protein, with apple and orange, dry",23.83
"Babyfood, cereal, high protein, with apple and orange, prepared with whole milk",3.987
"Babyfood, cereal, mixed, dry fortified",15
"Babyfood, cereal, mixed, prepared with whole milk",3.88
"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",2.02
"Babyfood, cereal, mixed, with applesauce and bananas, strained",2.02
"Babyfood, cereal, mixed, with bananas, dry",20.56
"Babyfood, cereal, mixed, with bananas, prepared with whole milk",1.605
"Babyfood, cereal, mixed, with honey, prepared with whole milk",6.26
"Babyfood, cereal, oatmeal, dry fortified",21.348
"Babyfood, cereal, oatmeal, prepared with whole milk",5.981
"Babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",1.77
"Babyfood, cereal, oatmeal, with applesauce and bananas, strained",1.77
"Babyfood, cereal, oatmeal, with bananas, dry",13
"Babyfood, cereal, oatmeal, with bananas, prepared with whole milk",1.605
"Babyfood, cereal, oatmeal, with honey, dry",36.292
"Babyfood, cereal, oatmeal, with honey, prepared with whole milk",6.034
"Babyfood, cereal, rice with pears and apple, dry, instant fortified",25.24
"Babyfood, cereal, rice, dry fortified",23.006
"Babyfood, cereal, rice, prepared with whole milk",2.449
"Babyfood, cereal, rice, with applesauce and bananas, strained",4.017
"Babyfood, cereal, rice, with bananas, dry",23.32
"Babyfood, cereal, rice, with bananas, prepared with whole milk",1.849
"Babyfood, cereal, rice, with honey, prepared with whole milk",6.083
"Babyfood, cereal, whole wheat, with apples, dry fortified",13.33
"Babyfood, cereal, with egg yolks, junior",0.048
"Babyfood, cereal, with egg yolks, strained",0.049
"Babyfood, cereal, with eggs, strained",0.056
"Babyfood, cherry cobbler, junior",0.06
"Babyfood, cookie, baby, fruit",3.6
"Babyfood, cookies",15.966
"Babyfood, cookies, arrowroot",5.739
"Babyfood, corn and sweet potatoes, strained",0.444
"Babyfood, crackers, vegetable",4.05
"Babyfood, dessert, banana pudding, strained",0.16
"Babyfood, dessert, banana yogurt, strained",0.19
"Babyfood, dessert, blueberry yogurt, strained",0.14
"Babyfood, dessert, cherry vanilla pudding, junior",0.038
"Babyfood, dessert, cherry vanilla pudding, strained",0.038
"Babyfood, dessert, custard pudding, vanilla, junior",0.076
"Babyfood, dessert, custard pudding, vanilla, strained",0.04
"Babyfood, dessert, dutch apple, junior",0.048
"Babyfood, dessert, dutch apple, strained",0.048
"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",0.144
"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",0.143
"Babyfood, dessert, fruit pudding, orange, strained",0.119
"Babyfood, dessert, fruit pudding, pineapple, strained",0.107
"Babyfood, dessert, peach cobbler, junior",0.259
"Babyfood, dessert, peach cobbler, strained",0.259
"Babyfood, dessert, peach melba, junior",0.272
"Babyfood, dessert, peach melba, strained",0.343
"Babyfood, dessert, peach yogurt",0.4
"Babyfood, dessert, tropical fruit, junior",0.08
"Babyfood, dinner, apples and chicken, strained",0.577
"Babyfood, dinner, beef and rice, toddler",1.343
"Babyfood, dinner, beef lasagna, toddler",1.353
"Babyfood, dinner, beef noodle, junior",0.582
"Babyfood, dinner, beef noodle, strained",0.616
"Babyfood, dinner, beef with vegetables",0.7
"Babyfood, dinner, broccoli and chicken, junior",0.964
"Babyfood, dinner, chicken and rice",0.3
"Babyfood, dinner, chicken noodle, junior",1.51
"Babyfood, dinner, chicken noodle, strained",1.51
"Babyfood, dinner, chicken soup, strained",0.293
"Babyfood, dinner, chicken stew, toddler",1.153
"Babyfood, dinner, macaroni and cheese, junior",0.545
"Babyfood, dinner, macaroni and cheese, strained",0.516
"Babyfood, dinner, macaroni and tomato and beef, junior",0.751
"Babyfood, dinner, macaroni and tomato and beef, strained",0.715
"Babyfood, dinner, macaroni, beef and tomato sauce, toddler",1.34
"Babyfood, dinner, mixed vegetable, junior",0.566
"Babyfood, dinner, mixed vegetable, strained",0.502
"Babyfood, dinner, pasta with vegetables",0.56
"Babyfood, dinner, spaghetti and tomato and meat, junior",0.967
"Babyfood, dinner, spaghetti and tomato and meat, toddler",1.558
"Babyfood, dinner, sweet potatoes and chicken, strained",1.04
"Babyfood, dinner, turkey and rice, junior",0.692
"Babyfood, dinner, turkey and rice, strained",0.648
"Babyfood, dinner, turkey, rice, and vegetables, toddler",2.11
"Babyfood, dinner, vegetables and beef, junior",0.789
"Babyfood, dinner, vegetables and beef, strained",0.789
"Babyfood, dinner, vegetables and chicken, junior",0.628
"Babyfood, dinner, vegetables and dumplings and beef, junior",0.49
"Babyfood, dinner, vegetables and dumplings and beef, strained",0.574
"Babyfood, dinner, vegetables and lamb, junior",0.554
"Babyfood, dinner, vegetables and noodles and turkey, junior",0.299
"Babyfood, dinner, vegetables and noodles and turkey, strained",0.25
"Babyfood, dinner, vegetables and turkey, junior",0.539
"Babyfood, dinner, vegetables and turkey, strained",0.466
"Babyfood, dinner, vegetables chicken, strained",0.72
"Babyfood, dinner, vegetables, noodles and chicken, junior",0.675
"Babyfood, dinner, vegetables, noodles and chicken, strained",0.407
"Babyfood, fortified cereal bar, fruit filling",11.842
"Babyfood, fruit and vegetable, apple and sweet potato",0.1
"Babyfood, fruit dessert, mango with tapioca",0.2
"Babyfood, fruit supreme dessert",0.28
"Babyfood, fruit, apple and blueberry, junior",0.103
"Babyfood, fruit, apple and blueberry, strained",0.12
"Babyfood, fruit, apple and raspberry, junior",0.104
"Babyfood, fruit, apple and raspberry, strained",0.106
"Babyfood, fruit, applesauce and apricots, junior",0.145
"Babyfood, fruit, applesauce and apricots, strained",0.14
"Babyfood, fruit, applesauce and cherries, junior",0.14
"Babyfood, fruit, applesauce and cherries, strained",0.14
"Babyfood, fruit, applesauce and pineapple, junior",0.079
"Babyfood, fruit, applesauce and pineapple, strained",0.078
"Babyfood, fruit, applesauce with banana, junior",0.163
"Babyfood, fruit, applesauce, junior",0.063
"Babyfood, fruit, applesauce, strained",0.061
"Babyfood, fruit, apricot with tapioca, junior",0.196
"Babyfood, fruit, apricot with tapioca, strained",0.195
"Babyfood, fruit, banana and strawberry, junior",0.728
"Babyfood, fruit, bananas and pineapple with tapioca, junior",0.182
"Babyfood, fruit, bananas and pineapple with tapioca, strained",0.168
"Babyfood, fruit, bananas with apples and pears, strained",0.55
"Babyfood, fruit, bananas with tapioca, junior",0.218
"Babyfood, fruit, bananas with tapioca, strained",0.183
"Babyfood, fruit, guava and papaya with tapioca, strained",0.263
"Babyfood, fruit, papaya and applesauce with tapioca, strained",0.108
"Babyfood, fruit, peaches, junior",1.64
"Babyfood, fruit, peaches, strained",1.64
"Babyfood, fruit, pears and pineapple, junior",0.183
"Babyfood, fruit, pears and pineapple, strained",0.207
"Babyfood, fruit, pears, junior",0.188
"Babyfood, fruit, pears, strained",0.189
"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",0.206
"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",0.213
"Babyfood, fruit, prunes with tapioca, without ascorbic acid, junior",0.526
"Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained",0.525
"Babyfood, fruit, tutti frutti, junior",0.08
"Babyfood, fruit, tutti frutti, strained",0.1
"Babyfood, GERBER, 2nd Foods, apple, carrot and squash, organic",0.255
"Babyfood, GERBER, 3rd Foods, apple, mango and kiwi",0.25
"Babyfood, GERBER, Banana with orange medley",0.654
"Babyfood, GERBER, GRADUATES Lil Biscuits Vanilla Wheat",3.647
"Babyfood, grape juice, no sugar, canned",0.2
"Babyfood, green beans and turkey, strained",1.14
"Babyfood, green beans, dices, toddler",0.23
"Babyfood, juice treats, fruit medley, toddler",0.057
"Babyfood, juice, apple",0.083
"Babyfood, juice, apple - cherry",0.11
"Babyfood, juice, apple and grape",0.109
"Babyfood, juice, apple and peach",0.213
"Babyfood, juice, apple and prune",0.301
"Babyfood, juice, apple, with calcium",0.08
"Babyfood, juice, apple-sweet potato",0.1
"Babyfood, juice, fruit punch, with calcium",0.1
"Babyfood, juice, mixed fruit",0.123
"Babyfood, juice, orange",0.239
"Babyfood, juice, orange and apple",0.185
"Babyfood, juice, orange and apple and banana",0.263
"Babyfood, juice, orange and apricot",0.267
"Babyfood, juice, orange and banana",0.18
"Babyfood, juice, orange and pineapple",0.194
"Babyfood, juice, orange-carrot",0.21
"Babyfood, juice, pear",0.3
"Babyfood, juice, prune and orange",0.396
"Babyfood, macaroni and cheese, toddler",0.79
"Babyfood, mashed cheddar potatoes and broccoli, toddlers",0.419
"Babyfood, meat, beef with vegetables, toddler",0.71
"Babyfood, meat, beef, junior",2.495
"Babyfood, meat, beef, strained",2.495
"Babyfood, meat, chicken sticks, junior",2.005
"Babyfood, meat, chicken, junior",3.42
"Babyfood, meat, chicken, strained",3.255
"Babyfood, meat, ham, junior",2.84
"Babyfood, meat, ham, strained",2.633
"Babyfood, meat, lamb, junior",3.193
"Babyfood, meat, lamb, strained",2.908
"Babyfood, meat, meat sticks, junior",1.481
"Babyfood, meat, pork, strained",2.269
"Babyfood, meat, turkey sticks, junior",1.94
"Babyfood, meat, turkey, junior",2.61
"Babyfood, meat, turkey, strained",2.61
"Babyfood, meat, veal, strained",2.85
"Babyfood, mixed fruit juice with low fat yogurt",0.16
"Babyfood, mixed fruit yogurt, strained",0.14
"Babyfood, Multigrain whole grain cereal, dry fortified",15
"Babyfood, oatmeal cereal with fruit, dry, instant, toddler fortified",9.6
"Babyfood, peaches, dices, toddler",0.47
"Babyfood, pears, dices, toddler",0.13
"Babyfood, peas and brown rice",1.4
"Babyfood, peas, dices, toddler",0.85
"Babyfood, plums, bananas and rice, strained",0.8
"Babyfood, potatoes, toddler",0.35
"Babyfood, pretzels",3.56
"Babyfood, prunes, without vitamin c, strained",0.72
"Babyfood, ravioli, cheese filled, with tomato sauce",1.65
"Babyfood, rice and apples, dry",20
"Babyfood, rice cereal, dry, EARTHS BEST ORGANIC WHOLE GRAIN, fortified only with iron",31.24
"Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars",0.334
"Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack",1.291
"Babyfood, snack, GERBER, GRADUATES, YOGURT MELTS",3.301
"Babyfood, tropical fruit medley",0.138
"Babyfood, vegetable and brown rice, strained",1.1
"Babyfood, vegetable, butternut squash and corn",0.56
"Babyfood, vegetable, green beans and potatoes",0.46
"Babyfood, vegetables, beets, strained",0.132
"Babyfood, vegetables, carrots, junior",0.497
"Babyfood, vegetables, carrots, strained",0.463
"Babyfood, vegetables, corn, creamed, junior",0.504
"Babyfood, vegetables, corn, creamed, strained",0.512
"Babyfood, vegetables, garden vegetable, strained",0.779
"Babyfood, vegetables, green beans, junior",0.321
"Babyfood, vegetables, green beans, strained",0.361
"Babyfood, vegetables, mix vegetables junior",0.665
"Babyfood, vegetables, mix vegetables strained",0.327
"Babyfood, vegetables, peas, strained",1.119
"Babyfood, vegetables, spinach, creamed, strained",0.216
"Babyfood, vegetables, squash, junior",0.683
"Babyfood, vegetables, squash, strained",0.683
"Babyfood, vegetables, sweet potatoes strained",0.358
"Babyfood, vegetables, sweet potatoes, junior",0.384
"Babyfood, water, bottled, GERBER, without added fluoride",0
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified",0.119
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified",0.119
Bacon and beef sticks,4.867
"Bacon bits, meatless",1.6
"Bacon, meatless",7.56
"Bacon, turkey, low sodium",6.222
"Bacon, turkey, microwaved",8.102
"Bacon, turkey, unprepared",4.032
"Bagels, cinnamon-raisin",3.08
"Bagels, cinnamon-raisin, toasted",2.981
"Bagels, egg",3.443
"Bagels, multigrain",4.265
"Bagels, oat bran",2.96
"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",4.515
"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame), toasted",4.375
"Bagels, plain, enriched, without calcium propionate (includes onion, poppy, sesame)",4.562
"Bagels, plain, unenriched, with calcium propionate (includes onion, poppy, sesame)",1.758
"Bagels, plain, unenriched, without calcium propionate(includes onion, poppy, sesame)",1.758
"Bagels, wheat",3.37
"Bagels, whole grain white",4.651
"Baking chocolate, mexican, squares",1.829
"Baking chocolate, unsweetened, liquid",2.1
"Baking chocolate, unsweetened, squares",1.355
"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, with salt",0.995
"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",0.995
"Balsam-pear (bitter gourd), leafy tips, raw",1.11
"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, with salt",0.28
"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",0.28
"Balsam-pear (bitter gourd), pods, raw",0.4
"Bamboo shoots, canned, drained solids",0.14
"Bamboo shoots, cooked, boiled, drained, with salt",0.3
"Bamboo shoots, cooked, boiled, drained, without salt",0.3
"Bamboo shoots, raw",0.6
"Bananas, dehydrated, or banana powder",2.8
"Bananas, raw",0.665
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",1.38
"Barbecue loaf, pork, beef",2.266
Barley flour or meal,6.269
Barley malt flour,5.636
"Barley, hulled",4.604
"Barley, pearled, cooked",2.063
"Barley, pearled, raw",4.604
"Basil, fresh",0.902
"Beans, adzuki, mature seed, cooked, boiled, with salt",0.717
"Beans, adzuki, mature seeds, canned, sweetened",0.631
"Beans, adzuki, mature seeds, cooked, boiled, without salt",0.717
"Beans, adzuki, mature seeds, raw",2.63
"Beans, baked, canned, no salt added",0.43
"Beans, baked, canned, plain or vegetarian",0.428
"Beans, baked, canned, with beef",0.94
"Beans, baked, canned, with franks",0.901
"Beans, baked, canned, with pork",0.447
"Beans, baked, canned, with pork and sweet sauce",0.304
"Beans, baked, canned, with pork and tomato sauce",0.494
"Beans, baked, home prepared",0.408
"Beans, black turtle, mature seeds, canned",0.62
"Beans, black turtle, mature seeds, cooked, boiled, with salt",0.527
"Beans, black turtle, mature seeds, cooked, boiled, without salt",0.527
"Beans, black turtle, mature seeds, raw",1.955
"Beans, black, mature seeds, canned, low sodium",0.62
"Beans, black, mature seeds, cooked, boiled, with salt",0.505
"Beans, black, mature seeds, cooked, boiled, without salt",0.505
"Beans, black, mature seeds, raw",1.955
"Beans, chili, barbecue, ranch style, cooked",0.36
"Beans, cranberry (roman), mature seeds, canned",0.504
"Beans, cranberry (roman), mature seeds, cooked, boiled, with salt",0.515
"Beans, cranberry (roman), mature seeds, cooked, boiled, without salt",0.515
"Beans, cranberry (roman), mature seeds, raw",1.455
"Beans, fava, in pod, raw",2.249
"Beans, french, mature seeds, cooked, boiled, with salt",0.546
"Beans, french, mature seeds, cooked, boiled, without salt",0.546
"Beans, french, mature seeds, raw",2.083
"Beans, great northern, mature seeds, canned",0.461
"Beans, great northern, mature seeds, canned, low sodium",0.461
"Beans, great northern, mature seeds, cooked, boiled, with salt",0.681
"Beans, great northern, mature seeds, cooked, boiled, without salt",0.681
"Beans, great northern, mature seeds, raw (Includes foods for USDA's Food Distribution Program)",1.955
"Beans, kidney, all types, mature seeds, canned",0.411
"Beans, kidney, all types, mature seeds, cooked, boiled, with salt",0.578
"Beans, kidney, all types, mature seeds, cooked, boiled, without salt",0.578
"Beans, kidney, all types, mature seeds, raw",2.06
"Beans, kidney, california red, mature seeds, cooked, boiled, with salt",0.54
"Beans, kidney, california red, mature seeds, cooked, boiled, without salt",0.54
"Beans, kidney, california red, mature seeds, raw",2.06
"Beans, kidney, mature seeds, sprouted, raw",2.92
"Beans, kidney, red, mature seeds, canned, drained solids",0.46
"Beans, kidney, red, mature seeds, canned, drained solids, rinsed in tap water",0.417
"Beans, kidney, red, mature seeds, canned, solids and liquid, low sodium",0.494
"Beans, kidney, red, mature seeds, canned, solids and liquids",0.494
"Beans, kidney, red, mature seeds, cooked, boiled, with salt",0.578
"Beans, kidney, red, mature seeds, cooked, boiled, without salt",0.578
"Beans, kidney, red, mature seeds, raw",2.11
"Beans, kidney, royal red, mature seeds, cooked, boiled with salt",0.552
"Beans, kidney, royal red, mature seeds, cooked, boiled, without salt",0.552
"Beans, kidney, royal red, mature seeds, raw",2.106
"Beans, liquid from stewed kidney beans",0.39
"Beans, mung, mature seeds, sprouted, canned, drained solids",0.22
"Beans, navy, mature seeds, canned",0.487
"Beans, navy, mature seeds, cooked, boiled, with salt",0.649
"Beans, navy, mature seeds, cooked, boiled, without salt",0.649
"Beans, navy, mature seeds, raw",2.188
"Beans, navy, mature seeds, sprouted, raw",1.22
"Beans, pink, mature seeds, cooked, boiled, with salt",0.57
"Beans, pink, mature seeds, cooked, boiled, without salt",0.57
"Beans, pink, mature seeds, raw",1.892
"Beans, pinto, canned, drained solids",0.272
"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, with salt",0.632
"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, without salt",0.632
"Beans, pinto, immature seeds, frozen, unprepared",0.7
"Beans, pinto, mature seeds, canned, drained solids, rinsed in tap water",0.262
"Beans, pinto, mature seeds, canned, solids and liquids",0.268
"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",0.268
"Beans, pinto, mature seeds, cooked, boiled, with salt",0.318
"Beans, pinto, mature seeds, cooked, boiled, without salt",0.318
"Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)",1.174
"Beans, shellie, canned, solids and liquids",0.205
"Beans, small white, mature seeds, cooked, boiled, with salt",0.272
"Beans, small white, mature seeds, cooked, boiled, without salt",0.272
"Beans, small white, mature seeds, raw",1.342
"Beans, snap, canned, all styles, seasoned, solids and liquids",0.233
"Beans, snap, green, canned, no salt added, drained solids",0.206
"Beans, snap, green, canned, no salt added, solids and liquids",0.2
"Beans, snap, green, canned, regular pack, drained solids",0.206
"Beans, snap, green, canned, regular pack, solids and liquids",0.2
"Beans, snap, green, cooked, boiled, drained, with salt",0.614
"Beans, snap, green, cooked, boiled, drained, without salt",0.614
"Beans, snap, green, frozen, all styles, microwaved",0.485
"Beans, snap, green, frozen, all styles, unprepared (Includes foods for USDA's Food Distribution Program)",0.496
"Beans, snap, green, frozen, cooked, boiled, drained without salt",0.383
"Beans, snap, green, frozen, cooked, boiled, drained, with salt",0.383
"Beans, snap, green, microwaved",0.773
"Beans, snap, green, raw",0.734
"Beans, snap, yellow, canned, no salt added, drained solids",0.201
"Beans, snap, yellow, canned, no salt added, solids and liquids",0.2
"Beans, snap, yellow, canned, regular pack, drained solids",0.201
"Beans, snap, yellow, canned, regular pack, solids and liquids",0.2
"Beans, snap, yellow, cooked, boiled, drained, with salt",0.614
"Beans, snap, yellow, cooked, boiled, drained, without salt",0.614
"Beans, snap, yellow, frozen, all styles, unprepared",0.499
"Beans, snap, yellow, frozen, cooked, boiled, drained, with salt",0.383
"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",0.383
"Beans, snap, yellow, raw",0.752
"Beans, white, mature seeds, canned",0.113
"Beans, white, mature seeds, cooked, boiled, with salt",0.14
