,Description,Measure,Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (µg) Per Measure,Vitamin D2 (ergocalciferol) (µg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (µg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(µg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
3281,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,0.8,,,,,
3342,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,0.3,,,,,
3517,"Mangos, raw",1.0 cups pieces,,,,,,,,6.9,,,,
3529,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,6.1,,,,
3655,"Fish, tilapia, raw",1.0 fillet,,,,,,,,1.6,,,,
3688,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,1.3,,,,
3737,"Apples, raw, without skin",1.0 cups slices,,,,,,,,0.7,,,,
3842,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,0.1,,,,
3893,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,2.12,,,
3896,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,1.98,,,
3913,"Mangos, raw",1.0 cups pieces,,,,,,,,,1.49,,,
4040,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,0.46,,,
4054,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,0.42,,,
4294,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,0.08,,,
4326,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,0.06,,,
4478,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,72.0,,
4481,"Mangos, raw",1.0 cups pieces,,,,,,,,,,71.0,,
4496,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,63.0,,
4588,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,28.0,,
4701,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,15.0,,
4760,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,13.0,,
4764,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,13.0,,
4829,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,9.0,,
4835,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,8.0,,
4864,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,8.0,,
5217,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,55.1,
5231,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,49.3,
5281,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,26.5,
5370,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,12.5,
5460,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,6.7,
5519,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,3.7,
5688,"Apples, raw, without skin",,,,,,,,,,,,,0.091
5689,"Apples, raw, without skin, cooked, boiled",,,,,,,,,,,,,0.095
5690,"Apples, raw, without skin, cooked, microwave",,,,,,,,,,,,,0.061
6020,"Bananas, raw",,,,,,,,,,,,,0.665
7770,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",,,,,,,,,,,,,0.799
8024,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",,,,,,,,,,,,,7.07
8656,"English muffins, whole grain white",,,,,,,,,,,,,2.105
8895,"Fish, salmon, coho, wild, cooked, moist heat",,,,,,,,,,,,,7.779
8908,"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",,,,,,,,,,,,,4.2
8938,"Fish, tilapia, raw",,,,,,,,,,,,,3.903
8944,"Fish, trout, rainbow, farmed, cooked, dry heat",,,,,,,,,,,,,6.646
8957,"Fish, tuna, skipjack, fresh, cooked, dry heat",,,,,,,,,,,,,18.756
9812,"Mangos, raw",,,,,,,,,,,,,0.669
10326,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",,,,,,,,,,,,,8.691
11615,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",,,,,,,,,,,,,6.537
11638,"Snacks, tortilla chips, plain, white corn, salted",,,,,,,,,,,,,0.838
12126,"Tomatoes, red, ripe, canned, stewed",,,,,,,,,,,,,0.714
